measurement,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
165.0,0.10333252,-0.015686035,0.027038574,122.854965,-5.847328,174.33588,257.0,-29042.0,0.0
166.0,0.08325195,0.003967285,0.026428223,128.55725,-2.3969467,152.05344,257.0,-29042.0,0.0
167.0,0.064819336,0.011962891,0.040893555,110.27481,-1.5114504,120.541985,257.0,-29042.0,0.0
168.0,0.061645508,0.0026855469,0.045837402,71.63359,-8.832061,73.51908,257.0,-29042.0,0.0
169.0,0.07080078,-0.0134887695,0.04650879,40.85496,-12.198473,8.80916,257.0,-29042.0,0.0
170.0,0.078308105,-0.014892578,0.049743652,10.641221,-12.503817,-54.748093,257.0,-29042.0,0.0
171.0,0.08404541,-0.010864258,0.043701172,-11.374045,-22.152672,-88.58778,257.0,-29042.0,0.0
172.0,0.10668945,-0.0072021484,0.032836914,-38.519085,-28.259542,-134.74046,257.0,-29042.0,0.0
173.0,0.121032715,-0.014526367,0.024597168,-59.59542,-41.21374,-170.57253,257.0,-29042.0,0.0
174.0,0.12939453,-0.021362305,0.032165527,-68.32825,-48.328243,-206.77863,257.0,-29042.0,0.0
175.0,0.123535156,-0.030883789,0.041809082,-71.419846,-59.519085,-233.38931,257.0,-29042.0,0.0
176.0,0.13775635,-0.038635254,0.046447754,-59.427483,-75.900764,-250.1374,257.0,-29042.0,0.0
177.0,0.16009521,-0.04449463,0.045898438,-29.38168,-83.580154,-250.1374,257.0,-29042.0,0.0
178.0,0.1798706,-0.04626465,0.02545166,6.4351144,-77.24428,-250.1374,257.0,-29042.0,0.0
179.0,0.17504883,-0.031433105,0.005004883,22.404581,-57.091602,-243.35115,257.0,-29042.0,0.0
180.0,0.1619873,-0.020446777,0.015808105,11.793893,-37.35878,-184.25954,257.0,-29042.0,0.0
181.0,0.16540527,-3.0517578E-4,0.029418945,-23.595419,-40.15267,-119.10687,257.0,-29042.0,0.0
182.0,0.16601562,-0.006958008,0.0335083,-70.64886,-40.068703,-53.85496,257.0,-29042.0,0.0
183.0,0.15594482,-0.022766113,0.031982422,-119.9542,-38.89313,-48.267174,257.0,-29042.0,0.0
184.0,0.14508057,-0.035827637,0.035888672,-130.99237,-33.748093,-40.06107,257.0,-29042.0,0.0
185.0,0.12689209,-0.046936035,0.032226562,-130.1145,-20.496183,-54.35878,257.0,-29042.0,0.0
186.0,0.11682129,-0.03845215,0.03778076,-118.12977,-17.053434,-54.633587,257.0,-29042.0,0.0
187.0,0.109558105,-0.041015625,0.037902832,-111.580154,-9.351145,-54.366413,257.0,-28785.0,0.0
188.0,0.109313965,-0.044006348,0.040222168,-87.89313,-10.61832,-75.25191,257.0,-28785.0,0.0
189.0,0.13165283,-0.047058105,0.042907715,-48.778625,-11.160305,-85.458015,257.0,-28785.0,0.0
190.0,0.13116455,-0.058166504,0.052368164,5.068702,-6.40458,-89.52672,257.0,-28785.0,0.0
191.0,0.12841797,-0.05255127,0.063964844,37.44275,-7.587786,-96.099236,257.0,-28785.0,0.0
192.0,0.13690186,-0.046875,0.061767578,48.50382,-8.129771,-93.53435,257.0,-28785.0,0.0
193.0,0.13604736,-0.04547119,0.061279297,44.52672,-0.6259542,-81.35878,257.0,-28785.0,0.0
194.0,0.14544678,-0.03540039,0.054992676,33.755726,8.946565,-54.27481,257.0,-28785.0,0.0
195.0,0.1381836,-0.030822754,0.05517578,4.80916,32.29771,-19.206106,257.0,-28785.0,0.0
196.0,0.13128662,-0.036193848,0.048095703,-16.465649,43.15267,22.496183,257.0,-28785.0,0.0
197.0,0.11853027,-0.037475586,0.043701172,-27.793894,57.38168,66.80153,257.0,-28785.0,0.0
198.0,0.11138916,-0.038085938,0.034729004,-37.076336,64.78626,103.740456,257.0,-28785.0,0.0
199.0,0.1295166,-0.0335083,0.01940918,-39.190838,64.74809,127.51145,257.0,-28785.0,0.0
200.0,0.13598633,-0.03527832,0.01361084,-30.687023,69.53435,154.53435,257.0,-28785.0,0.0
201.0,0.15203857,-0.040161133,0.008544922,-13.519084,62.84733,169.8626,257.0,-28785.0,0.0
202.0,0.18255615,-0.034057617,5.493164E-4,-7.328244,65.68702,184.96947,257.0,-28785.0,0.0
203.0,0.19384766,-0.024780273,0.0032958984,-14.0992365,46.541985,200.19847,257.0,-28785.0,0.0
204.0,0.18499756,-0.022277832,0.008483887,-31.931297,23.389313,209.50381,257.0,-28785.0,0.0
205.0,0.17590332,-0.023071289,0.009399414,-43.08397,-7.1755724,217.29007,257.0,-28785.0,0.0
206.0,0.15856934,-0.028015137,0.0076904297,-40.48855,-36.839695,212.771,257.0,-28785.0,0.0
207.0,0.14691162,-0.032287598,0.013427734,-4.740458,-53.9771,203.48856,257.0,-28785.0,0.0
208.0,0.12677002,-0.032104492,0.019042969,39.687023,-60.992367,191.39694,257.0,-28785.0,0.0
209.0,0.107910156,-0.03894043,0.035095215,98.57252,-63.305344,180.03053,257.0,-28785.0,0.0
210.0,0.10876465,-0.03314209,0.029968262,144.0916,-54.900764,164.03053,257.0,-28785.0,0.0
211.0,0.10797119,-0.024353027,0.03955078,162.06107,-41.435116,146.19084,257.0,-28785.0,0.0
212.0,0.10675049,-0.013977051,0.022705078,166.54199,-24.984734,127.12977,257.0,-28785.0,0.0
213.0,0.08728027,-0.0040283203,0.05114746,148.26718,-10.656488,101.32825,257.0,-28785.0,0.0
214.0,0.076538086,0.0072021484,0.05480957,97.96947,-0.5114504,72.26717,257.0,-28785.0,0.0
215.0,0.077819824,0.010559082,0.05883789,28.351145,-1.9312977,34.82443,257.0,-28785.0,0.0
216.0,0.082458496,-0.0016479492,0.062683105,-19.755726,-9.022901,-3.7251909,257.0,-28785.0,0.0
217.0,0.08227539,-0.012207031,0.057250977,-45.839695,-12.59542,-54.0,257.0,-28785.0,0.0
218.0,0.10443115,-0.015075684,0.044311523,-65.53435,-16.480917,-97.38931,257.0,-28785.0,0.0
219.0,0.11236572,-0.016052246,0.035583496,-79.47328,-18.557251,-137.19084,257.0,-28785.0,0.0
220.0,0.124572754,-0.020629883,0.034729004,-89.900764,-26.396946,-181.2519,257.0,-28785.0,0.0
221.0,0.13110352,-0.030395508,0.05419922,-89.63359,-36.08397,-216.30534,257.0,-28785.0,0.0
222.0,0.13061523,-0.038208008,0.043518066,-71.68702,-44.572517,-247.31297,257.0,-28785.0,0.0
223.0,0.14056396,-0.047973633,0.042663574,-37.198475,-49.419846,-250.1374,257.0,-28785.0,0.0
224.0,0.1583252,-0.051696777,0.03173828,9.175572,-50.328243,-250.1374,257.0,-28528.0,0.0
225.0,0.1652832,-0.039367676,0.014892578,40.984734,-37.21374,-242.66412,257.0,-28528.0,0.0
226.0,0.1539917,-0.0256958,0.0099487305,28.57252,-15.954199,-184.54962,257.0,-28528.0,0.0
227.0,0.15057373,-0.0068969727,0.021240234,-15.854961,-13.763359,-119.29008,257.0,-28528.0,0.0
